-0.01106446,0
-0.000920183,0
0.009224094,0
0.01936837,0
0.02951265,0
0.03965693,0
0.0498012,0
0.05994548,0
0.07008976,0
0.08023404,0
0.09037832,0
0.1005226,1.23
0.1106669,0
0.1208111,0
0.1309554,0
0.1410997,1.23
0.151244,1.23
0.1613883,2.46
0.1715325,1.23
0.1816768,0
0.1918211,3.69
0.2019654,0
0.2121096,0
0.2222539,1.23
0.2323982,0
0.2425425,4.92
0.2526868,2.46
0.262831,4.92
0.2729753,2.46
0.2831196,7.38
0.2932639,2.46
0.3034081,4.92
0.3135524,7.38
0.3236967,2.46
0.333841,4.92
0.3439853,4.92
0.3541295,8.61
0.3642738,6.15
0.3744181,7.38
0.3845624,6.15
0.3947066,8.61
0.4048509,7.38
0.4149952,12.3
0.4251395,8.61
0.4352838,17.22
0.445428,9.84
0.4555723,15.99
0.4657166,7.38
0.4758609,11.07
0.4860051,13.53
0.4961494,17.22
0.5062937,9.84
0.516438,13.53
0.5265823,12.3
0.5367265,14.76
0.5468708,12.3
0.5570151,15.99
0.5671594,14.76
0.5773036,14.76
0.5874479,12.3
0.5975922,12.3
0.6077365,13.53
0.6178808,15.99
0.628025,11.07
0.6381693,11.07
0.6483136,19.68
0.6584579,14.76
0.6686021,11.07
0.6787464,9.84
0.6888907,19.68
0.699035,18.45
0.7091792,11.07
0.7193235,18.45
0.7294678,19.68
0.7396121,18.45
0.7497564,19.68
0.7599006,12.3
0.7700449,18.45
0.7801892,25.83
0.7903335,20.91
0.8004777,20.91
0.810622,15.99
0.8207663,12.3
0.8309106,19.68
0.8410549,19.68
0.8511991,17.22
0.8613434,19.68
0.8714877,20.91
0.881632,15.99
0.8917762,23.37
0.9019205,19.68
0.9120648,24.6
0.9222091,28.29
0.9323534,24.6
0.9424976,29.52
0.9526419,23.37
0.9627862,23.37
0.9729305,14.76
0.9830747,17.22
0.993219,14.76
1.003363,12.3
1.013508,22.14
1.023652,13.53
1.033796,18.45
1.04394,19.68
1.054085,17.22
1.064229,12.3
1.074373,18.45
1.084518,20.91
1.094662,8.61
1.104806,14.76
1.11495,12.3
1.125095,13.53
1.135239,23.37
1.145383,18.45
1.155527,19.68
1.165672,22.14
1.175816,31.98
1.18596,25.83
1.196105,28.29
1.206249,33.21
1.216393,34.44
1.226537,30.75
1.236682,24.6
1.246826,44.28
1.25697,30.75
1.267115,35.67
1.277259,40.59
1.287403,57.81
1.297547,50.43
1.307692,45.51
1.317836,47.97
1.32798,45.51
1.338124,54.12
1.348269,46.74
1.358413,54.12
1.368557,61.5
